20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,T,5:30pm - 8:00pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,W,8:00 am - 10:30am,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,W,8:00 am - 10:30am,PSB-N2653,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,W,5:30pm - 8:00pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,8:00 am - 10:30am,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,8:00 am - 10:30am,PSB-N2653,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,11:00am - 1:30pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,11:00am - 1:30pm,PSB-N2653,0 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,2:00pm - 4:30pm,PSB-N2637,0 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,2:00pm - 4:30pm,PSB-N2653,0 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,R,5:30pm - 8:00pm,PSB-N2637,0 / 20
20201_CHEM.html,CHEM      1AL,L&S,2.0,Optional,F,8:00 am - 10:30am,PSB-N2637,0 / 20
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,8:00 am - 8:50 am,CHEM 1179,240 / 320
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,9:00 am - 9:50 am,CHEM 1179,320 / 320
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,10:00am - 10:50am,CHEM 1179,320 / 320
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,3:00pm - 3:50pm,CHEM 1179,320 / 320
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,4:00pm - 4:50pm,CHEM 1179,320 / 320
20201_CHEM.html,CHEM      1B,L&S,3.0,Optional,M W F,5:00pm - 5:50pm,CHEM 1179,320 / 320
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2637,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,1:00pm - 4:50pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2637,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,M,5:30pm - 9:20pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,8:00 am - 11:50am,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,8:00 am - 11:50am,PSB-N2654,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,8:00 am - 11:50am,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,8:00 am - 11:50am,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,1:00pm - 4:50pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,1:00pm - 4:50pm,PSB-N2654,22 / 22
